L1, L2, L3, train_acc, val_acc
40, 40, 40, 0.642000, 0.650000
40, 40, 400, 0.646000, 0.684000
40, 40, 4000, 0.757000, 0.782000
40, 400, 40, 0.688000, 0.695000
40, 400, 400, 0.696000, 0.760000
40, 400, 4000, 0.731000, 0.769000
40, 4000, 40, 0.720000, 0.750000
40, 4000, 400, 0.712000, 0.731000
40, 4000, 4000, 0.717000, 0.777000
400, 40, 40, 0.679000, 0.728000
400, 40, 400, 0.678000, 0.718000
400, 40, 4000, 0.720000, 0.736000
400, 400, 40, 0.685000, 0.727000
400, 400, 400, 0.672000, 0.709000
400, 400, 4000, 0.736000, 0.784000
400, 4000, 40, 0.643000, 0.707000
400, 4000, 400, 0.589000, 0.640000
400, 4000, 4000, 0.727000, 0.748000
4000, 40, 40, 0.740000, 0.757000
4000, 40, 400, 0.779000, 0.808000
4000, 40, 4000, 0.688000, 0.723000
4000, 400, 40, 0.755000, 0.783000
4000, 400, 400, 0.745000, 0.804000
4000, 400, 4000, 0.723000, 0.749000
4000, 4000, 40, 0.764000, 0.794000
4000, 4000, 400, 0.755000, 0.793000
4000, 4000, 4000, 0.681000, 0.725000
